ActionGeo_Lat,ActionGeo_Long,polriskevents
29.7837,48.807,0
29.8775,48.3833,21
29.9222,48.4867,1
29.9453,48.4711,0
30.0362,47.9195,9
30.1125,47.7177,8
30.1263,47.626,0
30.1463,46.6502,104
30.1698,47.8559,2
30.1898,48.3985,1
30.25,48.1,1
30.2935,47.667,1
30.3183,48.186,0
30.3833,47.7167,14
30.3833,46.9333,0
30.3833,47.7333,1
30.4243,48.1277,1
30.438,47.8952,23
30.4434,47.8656,20
30.4542,48.0033,4
30.4559,47.9867,5
30.4679,47.7789,11
30.4828,47.9781,6
30.4833,47.15,0
30.4842,47.8603,0
30.4935,47.8626,12
30.4966,47.7781,4
30.5,45,36
30.5188,47.8218,1
30.5227,47.8413,0
30.533,47.7975,9
30.6118,47.6568,0
30.6333,47.7667,16
30.6333,47.4,15
30.7186,47.7208,1
30.7667,47.6167,33
30.7951,47.5796,5
30.7952,43.2049,0
30.8044,47.6019,0
30.8311,46.5738,8
30.8333,46.55,0
30.8484,46.5435,17
30.85,46.7,0
30.85,47.3333,8
30.8591,46.569,2
30.8639,47.0311,7
30.8909,46.4543,1
30.8942,46.4792,4
30.9118,46.5924,2
30.916,47.2756,4
30.9333,46.8667,0
30.9381,45.8522,0
30.9392,47.4922,2
30.9399,47.2965,2
30.9447,47.3339,0
30.95,46.4,0
30.9575,47.2862,1
30.9583,47.4939,0
30.9634,47.4844,2
30.9692,47.1414,2
30.9695,46.1917,2
30.9833,47.1167,51
30.9856,47.4066,1
31,47.4167,1052
31,47.5,10
31.0325,46.3128,1
31.0333,45.6,0
31.0333,46.4667,0
31.058,46.2573,34
31.0626,47.3326,1
31.0667,45.9,6
31.0759,46.1135,0
31.0847,45.2693,2
31.1011,45.9475,3
31.1167,46.0167,1
31.1167,46.05,0
31.1242,46.2861,11
31.1313,45.8655,0
31.1411,46.2842,18
31.1658,46.6009,16
31.171,46.4409,0
31.2214,47.342,0
31.2241,46.3976,0
31.2333,46.1,1
31.25,43.8333,2
31.2556,46.5611,16
31.2639,45.5668,0
31.2667,46.5886,2
31.2761,46.1192,0
31.2991,45.5541,4
31.3004,46.5155,2
31.3054,45.2247,8
31.3059,45.2799,13
31.3059,45.3032,15
31.3167,45.3333,2
31.3167,45.65,5
31.3167,46.4,36
31.3211,45.2192,0
31.3228,46.2825,2
31.3312,46.517,1
31.3333,46.2167,0
31.344,45.4155,0
31.345,45.2956,62
31.3585,46.4853,27
31.377,47.529,3
31.3926,45.2497,0
31.4,45.4,0
31.4142,45.15,0
31.4167,47.3,0
31.4315,47.244,8
31.4445,45.2219,2
31.4451,47.4057,0
31.4496,45.0752,0
31.45,47.4,3
31.4617,46.1928,2
31.4619,45.9492,0
31.478,47.1957,0
31.4815,46.1566,1
31.4826,44.8157,2
31.4833,46.2,3
31.4865,46.2384,2
31.4875,47.1717,1
31.495,46.1247,0
31.5,47.35,5
31.5167,47.1667,0
31.5167,47.3167,0
31.5187,45.2807,1
31.528,47.2936,0
31.5387,46.1254,1
31.5398,46.3435,2
31.55,47.2833,4
31.55,46.1833,1
31.5833,45,1
31.5908,44.5386,23
31.6167,47.35,0
31.635,47.1197,0
31.6358,44.6334,0
31.6364,47.3611,0
31.6393,47.1948,0
31.6394,47.233,6
31.6473,44.9715,4
31.6567,44.721,0
31.6872,44.471,10
31.6923,46.9062,0
31.7,46.1,0
31.7133,44.5058,0
31.719,46.0029,12
31.7222,44.985,0
31.7333,47.2167,0
31.75,44.65,1
31.75,47.3,142
31.7558,45.1581,0
31.7587,43.3183,0
31.7824,44.8248,0
31.7833,47.2,0
31.8172,42.457,0
31.8333,44,3
31.8359,47.144,2
31.8385,45.4453,1
31.8403,44.8299,4
31.8632,46.0732,0
31.8653,47.1756,1
31.8881,44.3902,0
31.8911,44.7655,2
31.926,44.5928,0
31.9335,44.8109,4
31.9514,44.6219,4
31.9516,45.6283,1
31.9626,44.6007,2
31.9737,44.9806,8
31.9849,45.4325,7
31.9892,44.3291,122
31.9929,44.9255,4
31.9999,44.3678,3
32,47,62
32,40,8
32.0163,44.3393,2
32.0176,44.3474,0
32.0214,44.3261,15
32.0227,42.4462,2
32.0236,44.8873,0
32.0298,44.3802,0
32.0347,44.4033,5
32.0427,44.6605,1
32.0541,44.339,7
32.0544,44.3823,4
32.0567,45.2117,0
32.0581,46.0843,0
32.0643,45.2474,0
32.0658,46.8175,0
32.0667,45.5,0
32.0805,40.4596,0
32.0889,43.4752,3
32.1027,44.5432,5
32.1038,45.1579,4
32.1167,44.1167,0
32.1303,44.7014,1
32.1333,45.1167,22
32.1511,44.9899,0
32.1623,41.8804,0
32.1742,46.0435,1
32.2137,44.589,0
32.215,44.3533,1
32.2276,44.6488,0
32.259,44.5266,0
32.2671,44.31,27
32.2734,44.5732,0
32.2737,44.6537,0
32.2758,44.9708,0
32.278,44.8404,0
32.2811,44.8105,2
32.2948,44.6399,0
32.2952,44.7891,0
32.298,44.6828,2
32.3,43.2667,4
32.3085,44.6213,0
32.3161,44.8742,2
32.326,44.9166,0
32.3382,44.8455,0
32.3404,45.6318,3
32.3479,44.5358,0
32.3504,44.5478,2
32.3506,44.8366,0
32.3524,44.8447,6
32.3558,45.9474,0
32.3565,44.8777,2
32.3727,44.7346,8
32.3801,44.5471,9
32.382,44.2747,0
32.3833,43.7167,3
32.3854,44.6156,0
32.3889,45.6581,1
32.3922,44.3423,0
32.4204,47.4344,0
32.4499,44.761,1
32.4604,44.3435,0
32.4619,46.6879,0
32.4637,44.4196,6
32.4667,46.1333,0
32.4764,44.4226,11
32.4778,44.3996,3
32.4794,44.2019,0
32.4874,44.4302,0
32.4948,44.452,3
32.5,46.6167,0
32.5,46.55,0
32.5,43.8333,11
32.5167,44.3,0
32.519,41.0192,1
32.5224,45.6115,0
32.5247,45.8507,0
32.5312,44.4116,859
32.5333,46.4833,3
32.5368,46.1724,1
32.5422,44.2211,0
32.55,45.8,0
32.5624,44.318,0
32.5625,46.2668,0
32.5667,44.4167,3
32.5749,45.2707,31
32.5819,44.4025,1
32.5886,45.4657,1
32.5974,45.501,10
32.5979,44.0165,201
32.6,46.93,0
32.6047,44.5169,0
32.6163,44.0325,0
32.6264,44.2795,1
32.6297,43.9912,0
32.6368,46.0557,0
32.6457,44.7048,0
32.6482,44.108,3
32.65,44.2667,6
32.6603,44.3278,1
32.6667,44.5833,26
32.6676,44.8417,5
32.674,45.2138,0
32.6839,43.8986,4
32.7128,44.2667,0
32.75,43.2167,0
32.7683,43.6065,2
32.7734,44.2783,1
32.7833,44.3167,3
32.7836,44.2691,0
32.784,44.2766,1
32.8,44.3667,10
32.8724,44.4084,18
32.8833,46.4333,3
32.8873,44.3462,2
32.8874,45.1639,0
32.9,45,0
32.9094,45.0636,3
32.9107,44.2394,0
32.9148,46.2319,0
32.9256,44.7758,3
32.9296,44.1709,0
32.9667,44.8667,0
33,41.75,67
33,44,20729
33.0014,44.5822,120
33.0058,44.3674,0
33.0184,44.3807,2
33.0242,44.1785,1
33.0372,40.2859,134
33.0422,44.4908,2
33.0611,44.2475,0
33.0676,44.3623,2
33.0833,43.4833,233
33.0839,44.2569,8
33.1,44.4,3
33.1026,44.4769,1
33.1304,46.0589,14
33.1307,44.0763,0
33.1333,44.25,9
33.1394,44.4917,0
33.15,44.6167,2
33.1581,46.0385,0
33.1625,44.4271,1
33.1667,44.1167,18
33.1775,44.393,0
33.1784,44.6253,2
33.1867,40.0394,8
33.187,44.479,0
33.2333,44.5167,9
33.2341,44.4948,0
33.25,44.5333,1
33.25,44.5833,11
33.25,40.5833,4
33.2559,44.4691,2
33.257,44.3541,50
33.2669,44.5794,0
33.2718,44.2762,4
33.2734,44.3255,3
33.289,44.4091,0
33.2989,44.3366,63
33.3021,44.3563,0
33.3033,44.3522,33
33.3039,45.78,0
33.3064,44.4443,75
33.3078,44.4692,0
33.3148,44.3405,23
33.3206,44.456,1
33.3217,44.3938,25
33.3218,44.3354,1
33.322,44.49,8
33.3249,44.4048,5
33.3276,44.4086,69
33.3333,44.35,7
33.3356,44.9463,0
33.337,44.3865,0
33.3386,44.3939,7762
33.3491,44.4682,2
33.3558,43.7861,356
33.3621,44.3349,0
33.3667,43.7167,955
33.3677,44.5902,21
33.3681,44.3796,0
33.3714,44.3711,1
33.3728,44.3358,0
33.375,44.3554,3
33.3765,44.3753,17
33.3766,44.3389,28
33.3783,44.2831,1
33.3836,43.5855,38
33.3925,44.405,7
33.3964,43.6833,3
33.3977,44.4616,41
33.4148,45.7731,0
33.4186,44.3934,3
33.4206,43.3078,150
33.4327,38.9319,5
33.4331,44.2678,3
33.4333,43.2848,17
33.4347,43.2817,1
33.4414,44.0176,1
33.4575,44.2367,1
33.4621,45.1938,4
33.4667,45.65,1
33.4796,44.3028,1
33.4833,44.2833,0
33.4903,43.064,1
33.5294,44.2775,1
33.5528,44.3725,14
33.5531,44.0397,0
33.5656,44.5434,0
33.5726,44.1747,6
33.6,44.5,0
33.6333,44.8833,31
33.646,45.5503,1
33.6476,44.5293,3
33.649,44.3987,0
33.6503,45.3656,0
33.6601,44.0065,0
33.6667,44.9,4
33.6728,45.0767,1
33.6744,44.3958,21
33.6924,44.8053,5
33.6963,45.0778,2
33.703,44.6597,2
33.7194,45.29,8
33.7444,42.7322,0
33.7466,44.6437,94
33.7481,45.555,3
33.7591,44.3012,1
33.76,44.3982,6
33.7763,42.7289,9
33.7807,44.5551,1
33.7833,45.1167,2
33.7928,45.487,0
33.7973,44.9371,8
33.8,42.4167,0
33.816,42.7223,2
33.8187,44.2606,3
33.8207,45.4752,3
33.8403,45.069,1
33.8467,44.2344,11
33.8583,44.6522,0
33.8588,44.3433,0
33.8625,45.2874,0
33.8881,44.3545,0
33.9056,44.7253,2
33.9137,44.7659,2
33.9167,44.4,0
33.9172,44.6683,2
33.9229,44.3193,4
33.9236,44.7611,0
33.9409,45.1285,0
33.9423,44.6866,6
33.9667,42.8667,0
33.9678,44.3844,3
33.9744,44.2879,1
33.9758,44.9703,14
33.9783,42.5503,0
33.9786,44.9369,11
33.9787,44.2986,0
33.9799,42.5556,3
33.9833,44.2167,1
33.9924,44.3446,42
33.9961,44.1383,8
34,44.6,12
34,45,583
34.0017,44.1882,1
34.0075,44.7161,0
34.0075,44.9772,7
34.011,44.9619,0
